root_full,root_type,entry_num,root_display,semantic_axes,axes_count,poetry_evidence,body_text,chapter_header
أجج,مضاعف,1,أج,الحفيف,2,فراحتْ وأطرافُ الصُّوَى مُحْزئلّةٌ … تئجُّ كما أجَّ الظَّليمُ المفَزَّعُ (٣) | كأنَّ تردُّدَ أنفاسِه … أجيجُ ضِرامٍ زَفَتْهُ الشّمالُ | حتَّى إذا مَعْمعانُ الصَّيف هبَّ له … بأَجَّةٍ نشَّ عنها الماءُ والرُّطُبُ (١) | وغبتُ فلم أَشْهَدْ ولو كنتُ شاهداً … لخفّفَ عَنِّى من أجيجِ فؤادِيَا | يَكادُ مِنْ تنحنُحٍ وأَحِّ … يَحكِى سُعالَ الشَّرِق الأبَحَّ (١) | كأنَّ صوتَ شَخْبِها المُمتاحِ … سُعالُ شيخٍ من بنى الجُلاحِ,"وأما الهمزة والجيم فلها أصلان: الحَفِيف، والشدَّة إِمّا حرًّا وإمّا ملوحة. وبيان ذلك قولهم أجَّ الظليمُ إذا عدا أجيجاً وأجًّا، وذلك إذا سمِعت حَفِيفه فى عَدوه. والأجيج: أجيج الكِير من حفيف النَّار.
قال الشاعرُ يصف ناقة:
فراحتْ وأطرافُ الصُّوَى مُحْزئلّةٌ … تئجُّ كما أجَّ الظَّليمُ المفَزَّعُ (٣)
وقال آخر يصف فرساً:
كأنَّ تردُّدَ أنفاسِه … أجيجُ ضِرامٍ زَفَتْهُ الشّمالُ
وأَجَّةُ القومِ: حفيفُ مشيِهم واختلاطُ كلامِهم، كلُّ ذلك عن ابن دريد. والماء الأُجاج: الملح، وقال قومٌ: الأجاج الحارّ المشتعل المتوَهِّج، وهو من تأجّجَت النَّار. والأجَّة: شدَّة الحرّ، يقال منه ائتج النَّهار ائتجاجاً.
قال حُميد:
* ولهَبُ الفِتنةِ ذو ائتجاجِ *
وقال ذو الرُّمّة فى الأجّة:
حتَّى إذا مَعْمعانُ الصَّيف هبَّ له … بأَجَّةٍ نشَّ عنها الماءُ والرُّطُبُ (١)
وقال عُبيد بن أيوبٍ العنبرىّ يرثى ابنَ عمٍّ له:
وغبتُ فلم أَشْهَدْ ولو كنتُ شاهداً … لخفّفَ عَنِّى من أجيجِ فؤادِيَا
أحّ
وللهمزة والحاء أصلٌ واحد، وهو حكاية السُّعال وما أشبهه من عطَشٍ وغيظٍ، وكلُّه قريبٌ بعضه من بعض. قال الكسائىّ: فى قلْبى عليه أُحاح، أى إحنةٌ وعَداوة. قال الفرّاء: الأحاح العطش. قال ابن دريد:
سمعتُ لفلان أُحاحا وأحيحاً، إذا توجَّعَ من غيظٍ أو حُزن. وأنشد:
* يطوى الحيازيمَ على أُحاحِ *
وأُحيحة اسم رجلٍ، مشتقُّ من ذلك. ويقال فى حكاية السُّعال أحّ أحًّا. قال:
يَكادُ مِنْ تنحنُحٍ وأَحِّ … يَحكِى سُعالَ الشَّرِق الأبَحَّ (١)
وذكر بعضهم أنَّه ممدود: آح. وأنشد:
كأنَّ صوتَ شَخْبِها المُمتاحِ … سُعالُ شيخٍ من بنى الجُلاحِ
يقولُ مِنْ بَعْدِ السُّعالِ آحِ
أخّ
",
أخخ,مضاعف,2,أخ,تاوه او تكره,2,وانثنت الرجل فصارت فخا … وصار وصل الغانيات أخا. | أىَّ زَوْجَيكِ رأيتِ خَيْرَا … أألعظيمُ فَيْشةً وأيرَا,"وأما الهمزة والخاء فأصلان: [أحدهما] تأوُّه أو تكرُّه، والأصل الآخَر طعامٌ بعينه. قال ابن دُريد: أَخِّ (٢) كلمة تقال عند التأوُّه، وأحسبُها مُحدَثة. ويقال إنَّ أخِّ كلمة تقال عند التكرُّه للشئ.
وأنشد:
* وكانَ وصْلُ الغانيات أخَّا (٣) *
وكانت دَخْتَنُوس بنتُ لَقيطٍ، عند عمرو بن عمرو بن عُدُس، وهو شيخٌ كبير، فوضع رأسَه فى حجرها فنفخ كما ينفخ النائم، فقال أخِّ! فقالت أخِّ واللّهِ منك! وذلك بسَمْعه، ففتح عينيه وطلَّقها، فتزوَّجها عَمرو بن معبد بن زُرارة، وأغارت عليهم خيلٌ لبكر بن وائل فأخذوها * فيمن أُخذ، فركب الحىُّ ولحق عمرُو بنُ عمرٍو فطاعَنَ دونَها حتى أخَذَها، وقال وهو راجعٌ بها:
وانثنت الرجل فصارت فخا … وصار وصل الغانيات أخا.
أىَّ زَوْجَيكِ رأيتِ خَيْرَا … أألعظيمُ فَيْشةً وأيرَا
أم الذى يأتِى الكُماةَ سَيْرَا
فقالت: ذاك فى ذاك، وهذا فى هذا. والأَخيخة: دقيقٌ يصبُّ عليه ماءٌ فيُبرَق بزيتٍ أو سمن ويُشْرَب (١) قال:
* تجَشُّؤَ الشيخِ عن الأخِيخهْ *
أدّ
",
أدد,مضاعف,3,أد,عظم الشي وشدته وتكرره | الندود,2,يا أُمَّتَا رَكبتُ أمراً إدَّا … رأيتُ مَشْبوحَ اليدينِ نَهْدَا | أبيض وضاحَ الجَبين نَجْدَا … فنلتُ منهُ رشَفاً وبَرْدَا (٢) | ونتَّقِى الفحشاءَ والنَّآطِلا … والإدَدَ الإِداد والعَضائلا (٣) | نَضَوْنَ عَنِّى شِرَّةً وأَدَّا (١) … من بَعدِ ما كنتُ صُمُلاًّ نَهْدَا,"وأمّا الهمزة والدال فى المضاعف فأصلان: أحدهما عِظَم الشئ وشدّته وتكرُّره، والآخر النُّدود. فأمّا الأوَّل فالإدُّ وهو الأمر العظيم.
قال اللّه تعالى: ﴿لَقَدْ جِئْتُمْ شَيْئاً إِدًّا﴾ أى عظِيما من الكفر. وأنشد ابنُ دريد:
يا أُمَّتَا رَكبتُ أمراً إدَّا … رأيتُ مَشْبوحَ اليدينِ نَهْدَا
أبيض وضاحَ الجَبين نَجْدَا … فنلتُ منهُ رشَفاً وبَرْدَا (٢)
وأنشد الخليل:
ونتَّقِى الفحشاءَ والنَّآطِلا … والإدَدَ الإِداد والعَضائلا (٣)
ويقال أدَّتِ الناقة، إذا رجَّعت حَنينَها. والأَدَّ: القُوَّة، قاله ابن دريد وأنشد:
نَضَوْنَ عَنِّى شِرَّةً وأَدَّا (١) … من بَعدِ ما كنتُ صُمُلاًّ نَهْدَا
فهذا الأصل الأوَّل. وأمَّا الثانى فقال ابن دريد: أدَّتِ الإبل، إِذا نَدّت.
وأما أُدُّ بن طابخة بن إلياس بن مضر فقال ابن دريد: الهمزة فى أدّ واوٌ، لأنه من الوُدّ. وقد ذكر فى بابه.
أذّ
",
أذذ,مضاعف,4,أذ,,0,يَؤُذُّ بالشَّفْرَةِ أىَّ أذِّ … مِنْ قَمَعٍ ومَأْنَةٍ وفَلْذِ | بَلَّتْ به عُلابِطاً مِئَرَّا (٢) … ضَخْمَ الكراديسِ وَأْى زِبرَّا | قد هاج سارٍ لسارِى ليلةٍ طربا … وقد تصَرَّم أو قد كاد أو ذَهَبَا | كأن حِيرّيةً غَيْرَى مُلَاحِيَةً … باتَتْ تَؤُرُّ به من تَحتِه لَهَبَا (١),"وأما الهمزة والذال فليس بأصلٍ، وذلك أنَّ الهمزة فيه محوَّلة من هاء، وقد ذكر فى الهاء. قال ابن دريد: أذَّ يَؤُذُّ أذًّا: قطع، مثل هَذَّ. وشَفْرةٌ أذُوذٌ: قَطَّاعة. أنشد المفضَّل:
يَؤُذُّ بالشَّفْرَةِ أىَّ أذِّ … مِنْ قَمَعٍ ومَأْنَةٍ وفَلْذِ
أرّ
أصلُ هذا البابِ واحد، وهو هَيْج الشّئ بتَذكيةٍ وحَمْى، فالأرُّ الجِماع، يقال أرَّها يؤرُّها أرًّا؛ والمئَرُّ: الكثير الجماع. قال الأغلب:
بَلَّتْ به عُلابِطاً مِئَرَّا (٢) … ضَخْمَ الكراديسِ وَأْى زِبرَّا
والأرُّ: إيقاد النار، يقال أرَّ الرجلُ النَّارَ إِذا أوقدها. أنشدنا أبو الحسن.
على بن إبراهيم القطّان، قال أملى علينا ثعلبٌ:
قد هاج سارٍ لسارِى ليلةٍ طربا … وقد تصَرَّم أو قد كاد أو ذَهَبَا
كأن حِيرّيةً غَيْرَى مُلَاحِيَةً … باتَتْ تَؤُرُّ به من تَحتِه لَهَبَا (١)
والأرُّ: أن تُعالج النَّاقة إذا انقطع وِلادها، وهو أنْ يُؤخذَ غصنٌ من شوك قَتَادٍ فيُبلَّ ثمَّ يذرَّ عليه مِلح فيُؤَرّ به حياؤُها حتَّى يَدْمى، يقال ناقة مأرورة، وذلك الذى تعالج به هو الإرَار.
أزّ
",
أزز,مضاعف,5,أز,التحرك والتحريك والازعاج,1,لا يأخُذُ التَّأفِيكُ والتَّحَزِّى … فينا ولا طَيْخُ العِدَى ذو الأزِّ (٢) | شديدة أزِّ الآخِرَينِ كأنَّهَا … إذا ابتَدَّها العِلجانِ زجْلَةُ قافِلِ (٣),"والهمزة والزاء يدلّ على التحرّك والتحريك والإزعاج.
قال الخليل: الأزُّ حمل الإنسانِ الإِنسانَ على الأمرِ برفقٍ واحتيال. الشيطان يؤزّ الإِنسانَ على المعصية أزًّا. قال اللّه تعالى: ﴿أَلَمْ تَرَ أَنّا أَرْسَلْنَا اَلشَّياطِينَ عَلَى اَلْكافِرِينَ تَؤُزُّهُمْ أَزًّا﴾. قال أهل التفسير: تُزعجهم إزعاجاً.
وأنشد ابن دريد:
لا يأخُذُ التَّأفِيكُ والتَّحَزِّى … فينا ولا طَيْخُ العِدَى ذو الأزِّ (٢)
قال ابنُ الأعرابىّ: الأزّ حلْب النَّاقة بشدة. وأنشد:
شديدة أزِّ الآخِرَينِ كأنَّهَا … إذا ابتَدَّها العِلجانِ زجْلَةُ قافِلِ (٣)
قال أبو عبيد: الأزّ ضم الشَّئ إلى الشئ. قال الخليل: الأزّ غلَيان
القِدر، وهو الأزيز أيضاً. و
فى الحديث: «كان يصلِّى ولِجَوفه أزيزٌ كأزيز المِرجَل من البكاء»
. قال أبو زيد: الأزّ صوتُ الرعد، يقال أزّ يئزُّ أزًّا وأزيزاً. قال أبو حاتم: والأزيز القُرّ الشَّديد، يقال ليلةٌ ذات أزيزٍ ولا يقال يومٌ ذو أزيز. قال: والأزيز شدَّة السير، يقال أزَّتْنا الرِّيح أى ساقتنا.
قال ابن دريد: بيت أَزَزٌ، إذا امتلأ ناساً.
أسّ
",
أسس,مضاعف,6,أس,الاصل والشي الوطيد الثابت، فالاس اصل البناء، وجمعه اساس,1,وأسُّ مَجْدٍ ثابتٌ وطيدُ … نال السماءَ فرعُه المديدُ,"الهمزة والسين يدلّ على الأصل والشئ الوطيد الثابت، فالأُسّ أصل البناء، وجمعه آساس. ويقال للواحد أساس بقصر الألف، والجمع أُسُسٌ. قالوا: الأُسُّ أصل الرجل، والأسُّ وجْه الدهر، ويقولون كان ذلك على أُسّ الدَّهر. قال الكذّاب الحِرْمازىّ (١)
:
وأسُّ مَجْدٍ ثابتٌ وطيدُ … نال السماءَ فرعُه المديدُ
فأمّا الآس فليس هذا بابه، وقد ذكر فى موضعه.
أشّ
",
أشش,مضاعف,7,أش,الحركة للقاء,1,,"الهمزة والشين يدل على الحركة للِّقاء. قال ابن دريد:
أشَّ القوم يَؤُشُّون أشًّا، إذا قام بعضُهم إلى بعضٍ للشرّ لا للخير. وقال غيره:
الاشاش مثل الهَشَاش (٢)
. وفى الحديث: «كان إذا رأى من أصحابه بعضَ الأَشاش وعَظَهُم»
.
أصّ
",
أصص,مضاعف,8,أص,اصل الشي ومجتمعه,2,قِلالُ مَجْدٍ فَرَّعَت آصاصا … وعزةٌ قعساءُ لا تُناصى (٢) | زمانَ لم أخالِفِ الأَضاضَهْ … أكحلُ ما فى عينِه بياضَهْ | يَطِحَرْنَ (١) ساعاتِ إنى الغَبُوقِ … من كِظَّةِ الأَطَّاطة السَّنُوقِ (٢) | قد عَرَفَتْنى سِدرتى وأطَّتِ (٤) … وقد شَمِطْتُ بَعدَها واشمَطَّتِ,"وأما الهمزة والصاد فله معنيان، أحدهما أصل الشئ ومجتمعه، والأصل الآخر الرِّعدة. قال أهل اللغة: الإصّ (١) الأصل. ويقال للناقة المجتمعة الخلْق أَصُوصٌ. وجمع الإصِّ الذى هو الأصل آصاص. قال:
قِلالُ مَجْدٍ فَرَّعَت آصاصا … وعزةٌ قعساءُ لا تُناصى (٢)
والأصيص أصل الدنّ يجعل فيه شَراب. قال عدىّ:
* مَتَى أرى شَرْباً حَوَالَىْ أصيصْ * (٣)
فهذا أصل. وأما الآخر فقالوا: أفْلَتَ فلانٌ وله أصِيص، أى رِعدةٌ.
أضّ
وللهمزة والضاد معنيان: الاضطرار والكسر، وهما متقاربان. قال ابن دريد: أضَّنى إلى كذا [وكذا] يؤُضُّنى أضًّا، إذا اضطرّنى إليه. قال رؤبة:
* وهى تَرَى ذا حاجةٍ مؤْتَضَّا *
أى مضطرّا. قال: والأضّ أيضا الكسر، يقال أضه مثل هَضَّه سواء.
وحكى أبو زيد الأَضاضة: الاضطرار. قال:
زمانَ لم أخالِفِ الأَضاضَهْ … أكحلُ ما فى عينِه بياضَهْ
* يا ليت شعرى وأنا ذو غنى *.
أطّ
وللهمزة والطاء معنًى واحد، وهو صوت الشيء إذا حنّ وأَنْقَض، يقال أطَّ الرَّحْل يئط أطيطا، وذلك إذا كان جديداً فسمعتَ له صريراً. وكلُّ صوتٍ أشبَهَ ذلك فهو أطيط. قال الرّاجز:
يَطِحَرْنَ (١) ساعاتِ إنى الغَبُوقِ … من كِظَّةِ الأَطَّاطة السَّنُوقِ (٢)
يصف إبلاً امتلأَت بطونُها. يَطحَرْن: يتنفَّسْنَ تنفُّسا شديدا كالأَنين.
والإِنَى: وقت الشُّرب عشيًّا. والأَطَّاطة: التى تسمع لها صوتا. و
فى الحديث: «حتى يُسمعَ أطيطُه من الزِّحام»
. يعنى باب الجنَّة. ويقال أطَّتِ الشجرة إذا حنَّت. قال الراجز (٣)
:
قد عَرَفَتْنى سِدرتى وأطَّتِ (٤) … وقد شَمِطْتُ بَعدَها واشمَطَّتِ
أفّ
",
أفف,مضاعف,9,أف,تكره الشي | الوقت الحاضر,2,,"وأما الهمزة والفاء فى المضاعف فمعنيان، أحدهما تكرُّهُ الشئ، والآخَر الوقت الحاضر. قال ابنُ دريد: أفَّ يؤفُّ أفًّا، إذا تأفَّف من كرب أو ضَجَر، ورجلٌ أفَّافٌ كثير التأفّف. قال الفراء: أُفِّ خفضاً بغير نون، وأُفٍّ خفضا مع النون، وذلك أنه صوت، كما تخفض الأصوات فيقال طاقِ
طاقِ. ومن العرب من يقول أفٌّ له (١)
. قال: وقد قال بعضُ العرب: لا تقولن له أُفًّا ولا تُفًّا، يجعله كالاسم. قال: والعرب تقول: جعل يتأفَّف من ريحٍ وجَدَها ويتأفَّف من الشدَّة تُلِمَّ به. و
قال متمِّم بن نُويرة، حين سأله عُمرُ عن أخيه مالكٍ، فقال: «كان يركب الجَمَل الثَّفَال (٢)
، ويقتاد الفرسَ البطئ، ويكتفل الرُّمْح الخَطِل، ويلبس الشَّملة الفَلوت، بين سَطِيحتين نَضُوحين (٣)
، فى الليل البليل، ويُصَبِّحُ الحىِّ ضاحكا لا يتأنَّنُ ولا يتأفَّف». قال الخليل:
الأُفُّ والتُّف، أحدهما وسخ الأَظفار والآخر وسخ الأُذن. قال:
* عليهم الّلعنةُ والتأفيفُ
قال ابنُ الأعرابى: يقال أفًّا له وتُفًّا وأُفَّةً له وتُفَّةً. قال ابن الأعرابىّ:
الأفَف الضَّجر. ومن هذا القياس اليأفوف الحديدُ القلب (٤)
.
والمعنى الآخَر قولهم: جاء على تَئِفّة ذاك وأفَفِه وإفّانه، أى حينه. قال:
* على إفِّ هِجرانٍ وساعةِ خَلْوةٍ * (٥)
",
أكك,مضاعف,10,أك,,,بإذن هجران وساعة خلوة … من الناس تخشى أعينا أن تطلعا. | إذا الشَّريبُ أخذتْه أَكَّهْ (١) … فَخَلِّهِ حَتَّى يَبكّ بَكَّهْ,"وأمّا الهمزة والكاف فمعنى الشدَّة من حرٍّ وغيره.
قال ابن السِّكّيت: الأَكّة الحرّ المحتدم، يقال أصابتنا أكّةُ من حرٍّ،
* هوجا يآفيف صغارا زعرا *.
بإذن هجران وساعة خلوة … من الناس تخشى أعينا أن تطلعا.
وهذا يومٌ أكٌّ ويوم ذو أكٍّ. قال ابن الأَعرابيّ: الأَكّة سوء خُلُق وضِيق نَفْس. وأنشدَ:
إذا الشَّريبُ أخذتْه أَكَّهْ (١) … فَخَلِّهِ حَتَّى يَبكّ بَكَّهْ
قال ابنُ الأَعرابىّ: ائتكّ الرجل، إذا اصطكَّتْ رجلاه. قال:
* فى رِجْلِه من نَعْظِهِ ائتكاكُ *
قال الخليل: الأَكَّة الشدِيدَة من شدَائدِ الدهر، وقد ائتكّ فلانٌ من أمرٍ أرمَضَه ائتكاكا. قال ابن دريد: يومٌ عكٌّ أكٌّ، وعكِيكٌ أكيكٌ، وذلك من شدَّة الْحر.
",
